air_humidity_100;atm_pressure_main;num_of_resets;piezo_charge;piezo_temperature;chuva
57.0;9409;1;34543;16;0.0
71.0;9432;1;34483;19;0.0
87.0;9444;1;34406;18;0.6
91.0;9440;1;34296;18;0.8
86.0;9445;1;34210;18;0.4
93.0;9441;1;34020;18;3.0
92.0;9419;1;33872;18;1.8
88.0;9416;1;33805;19;0.2
82.0;9411;1;33743;20;0.0
79.0;9411;1;33677;21;0.0
81.0;9412;1;33612;21;0.0
84.0;9415;1;33550;20;0.0
86.0;9424;1;33491;18;0.0
86.0;9433;1;33435;18;0.0
87.0;9440;1;33377;17;0.0
84.0;9447;1;33323;17;0.0
83.0;9446;1;33266;16;0.0
80.0;9447;1;33212;17;0.0
85.0;9443;1;33151;16;0.0
85.0;9431;1;33100;15;0.0
84.0;9426;1;33050;16;0.0
85.0;9429;1;32998;16;0.0
87.0;9430;1;32946;16;0.0
86.0;9436;1;32894;16;0.0
84.0;9446;1;32840;17;0.0
82.0;9456;1;32782;18;0.0
79.0;9462;1;32721;19;0.0
71.0;9467;1;32651;22;0.0
74.0;9471;1;32576;24;0.0
76.0;9467;1;32487;23;0.0
80.0;9465;1;32419;21;0.0
79.0;9460;1;32352;21;0.0
84.0;9460;1;32286;20;0.0
87.0;9459;1;32226;18;0.0
90.0;9461;1;32169;17;0.0
88.0;9463;1;32114;17;0.0
86.0;9469;1;32062;16;0.0
89.0;9471;1;32010;15;0.0
86.0;9481;1;31963;14;0.0
84.0;9480;1;31914;14;0.0
84.0;9484;1;31866;14;0.0
84.0;9480;1;31819;14;0.0
84.0;9476;1;31773;13;0.0
83.0;9473;1;31728;13;0.0
84.0;9467;1;31683;13;0.0
84.0;9467;1;31638;13;0.0
83.0;9471;1;31592;14;0.0
81.0;9475;1;31546;14;0.0
79.0;9482;1;31497;14;0.0
68.0;9486;1;31444;16;0.0
61.0;9490;1;31376;22;0.0
53.0;9490;1;31295;25;0.0
52.0;9489;1;31208;27;0.0
42.0;9481;1;31106;32;0.0
42.0;9472;1;30988;36;0.0
36.0;9460;1;30867;37;0.0
37.0;9453;1;30738;38;0.0
42.0;9446;1;30628;34;0.0
38.0;9442;1;30535;29;0.0
48.0;9444;1;30443;29;0.0
54.0;9448;1;30372;22;0.0
59.0;9453;1;30303;21;0.0
62.0;9459;1;30240;20;0.0
66.0;9468;1;30181;19;0.0
68.0;9466;1;30124;17;0.0
70.0;9466;1;30070;17;0.0
78.0;9465;1;29990;17;0.0
78.0;9459;1;29941;15;0.0
81.0;9458;1;29893;14;0.0
83.0;9457;1;29848;13;0.0
85.0;9461;1;29804;13;0.0
85.0;9465;1;29762;13;0.0
76.0;9470;1;29717;13;0.0
66.0;9475;1;29663;16;0.0
57.0;9473;1;29595;22;0.0
52.0;9469;1;29511;27;0.0
42.0;9464;1;29410;31;0.0
35.0;9457;1;29292;36;0.0
33.0;9449;1;29167;37;0.0
31.0;9439;1;29058;33;0.0
27.0;9432;1;28949;34;0.0
27.0;9428;1;28846;32;0.0
39.0;9427;1;28751;30;0.0
37.0;9429;1;28667;27;0.0
49.0;9436;1;28595;23;0.0
50.0;9438;1;28534;19;0.0
51.0;9444;1;28478;17;0.0
60.0;9444;1;28425;16;0.0
58.0;9445;1;28375;16;0.0
59.0;9445;1;28324;15;0.0
66.0;9448;1;28276;15;0.0
